 variables ="x","u","ue","error"
 zone T=           1
   0.0000000000000000        2.8990242006909129E-002   2.8990242006909129E-002   0.0000000000000000     
   9.8174770424681035E-002   4.3391051711480666E-002   4.3248007854351844E-002   1.4304385712882173E-004
  0.19634954084936207        5.6146536819236363E-002   5.5843777013714166E-002   3.0275980552219722E-004
  0.29452431127404310        6.6755121449498314E-002   6.6293501139990288E-002   4.6162030950802624E-004
  0.39269908169872414        7.4797279421882371E-002   7.4195603195280416E-002   6.0167622660195486E-004
  0.49087385212340517        7.9952116002728418E-002   7.9246409829149503E-002   7.0570617357891552E-004
  0.58904862254808621        8.2010160423454062E-002   8.1251821375183025E-002   7.5833904827103671E-004
  0.68722339297276724        8.0881859581629578E-002   8.0134770992314641E-002   7.4708858931493705E-004
  0.78539816339744828        7.6601429111574595E-002   7.5938186300308949E-002   6.6324281126564633E-004
  0.88357293382212931        6.9325897666033587E-002   6.8823339695407909E-002   5.0255797062567775E-004
  0.98174770424681035        5.9329366828058089E-002   5.9063650742585815E-002   2.6571608547227427E-004
   1.0799224746714913        4.6992695324552546E-002   4.7034178815003186E-002  -4.1483490450640315E-005
   1.1780972450961724        3.2788994880826351E-002   3.3197209772631360E-002  -4.0821489180500881E-004
   1.2762720155208536        1.7265489150850678E-002   1.8084490575906900E-002  -8.1900142505622262E-004
   1.3744467859455345        1.0224302363977416E-003   2.2767945482496366E-003  -1.2543643118518950E-003
   1.4726215563702154       -1.5310116278374619E-002  -1.3618397417055911E-002  -1.6917188613187074E-003
   1.5707963267948966       -3.1096721731769750E-002  -2.8990242006909122E-002  -2.1064797248606278E-003
   1.6689710972195777       -4.5721333787531744E-002  -4.3248007854351837E-002  -2.4733259331799068E-003
   1.7671458676442586       -5.8611344808412319E-002  -5.5843777013714159E-002  -2.7675677946981600E-003
   1.8653206380689396       -6.9260053057339233E-002  -6.6293501139990274E-002  -2.9665519173489585E-003
   1.9634954084936207       -7.7246641140738481E-002  -7.4195603195280416E-002  -3.0510379454580655E-003
   2.0616701789183018       -8.2252891106413817E-002  -7.9246409829149489E-002  -3.0064812772643279E-003
   2.1598449493429825       -8.4075981458010263E-002  -8.1251821375183025E-002  -2.8241600828272373E-003
   2.2580197197676637       -8.2636863236231831E-002  -8.0134770992314669E-002  -2.5020922439171617E-003
   2.3561944901923448       -7.7983884384229790E-002  -7.5938186300308949E-002  -2.0456980839208411E-003
   2.4543692606170260       -7.0291517174748935E-002  -6.8823339695407840E-002  -1.4681774793410957E-003
   2.5525440310417071       -5.9854235269071299E-002  -5.9063650742585821E-002  -7.9058452648547717E-004
   2.6507188014663878       -4.7075777443522211E-002  -4.7034178815003193E-002  -4.1598628519018410E-005
   2.7488935718910690       -3.2454216591010193E-002  -3.3197209772631235E-002   7.4299318162104194E-004
   2.8470683423157501       -1.6563418000949206E-002  -1.8084490575906911E-002   1.5210725749577048E-003
   2.9452431127404308       -3.1613431745313624E-005  -2.2767945482496462E-003   2.2451811165043324E-003
   3.0434178831651120        1.6482068750511374E-002   1.3618397417055901E-002   2.8636713334554732E-003
   3.1415926535897931        3.2312196865115550E-002   2.8990242006909108E-002   3.3219548582064419E-003
   3.2397674240144743        4.6811788927090772E-002   4.3248007854351955E-002   3.5637810727388169E-003
   3.3379421944391554        5.9376257489527615E-002   5.5843777013714152E-002   3.5324804758134626E-003
   3.4361169648638361        6.9465613756787573E-002   6.6293501139990274E-002   3.1721126167972985E-003
