x,y,f,u,ue,e
x,y,f,u,ue,e
0,0,0,0,0,0
0.03125,0,0,0,0,0
0.0625,0,0,0,0,0
0.09375,0,0,0,0,0
0.125,0,0,0,0,0
0.15625,0,0,0,0,0
0.1875,0,0,0,0,0
0.21875,0,0,0,0,0
0.25,0,0,0,0,0
0.28125,0,0,0,0,0
0.3125,0,0,0,0,0
0.34375,0,0,0,0,0
0.375,0,0,0,0,0
0.40625,0,0,0,0,0
0.4375,0,0,0,0,0
0.46875,0,0,0,0,0
0.5,0,0,0,0,0
0.53125,0,0,0,0,0
0.5625,0,0,0,0,0
0.59375,0,0,0,0,0
0.625,0,0,0,0,0
0.65625,0,0,0,0,0
0.6875,0,0,0,0,0
0.71875,0,0,0,0,0
0.75,0,0,0,0,0
0.78125,0,0,0,0,0
0.8125,0,0,0,0,0
0.84375,0,0,0,0,0
0.875,0,0,0,0,0
0.90625,0,0,0,0,0
0.9375,0,0,0,0,0
0.96875,0,0,0,0,0
1,0,0,0,0,0
0,0.03125,0,0,0,0
0.03125,0.03125,-19.9288504833,0.0144342228,0.0135136098,0.000920613
0.0625,0.03125,-0.3774570091,0.0191375616,0.0191221955,1.53661694296E-05
0.09375,0.03125,19.1775715823,0.0236565953,0.0245466239,-0.0008900287
0.125,0.03125,-0.7404085571,0.0375396775,0.0375095357,3.0141825586E-05
0.15625,0.03125,-20.6512581574,0.0510612322,0.0501112101,0.000950022
0.1875,0.03125,-1.0749066194,0.0544991646,0.0544554055,4.37591482894E-05
0.21875,0.03125,18.5117968569,0.0574122404,0.0582751656,-0.0008629252
0.25,0.03125,-1.3680966232,0.0693642794,0.0693085846,5.56948314649E-05
0.28125,0.03125,-21.2348145849,0.0806483026,0.0796745241,0.0009737785
0.3125,0.03125,-1.608711441,0.0815637639,0.0814982737,6.54901935017E-05
0.34375,0.03125,18.0328844735,0.0816937215,0.0825371503,-0.0008434288
0.375,0.03125,-1.7875043802,0.0906287986,0.0905560298,7.27688041298E-05
0.40625,0.03125,-21.5906785897,0.0986910708,0.0977028052,0.0009882656
0.4375,0.03125,-1.8976045286,0.0962110194,0.0961337685,0.000077251
0.46875,0.03125,17.8137445014,0.0928044033,0.093638911,-0.0008345077
0.5,0.03125,-1.9347807992,0.0980959047,0.0980171403,7.87643860176E-05
0.53125,0.03125,-21.664673103,0.1024426889,0.101451411,0.0009912779
0.5625,0.03125,-1.8976045286,0.0962110194,0.0961337685,0.000077251
0.59375,0.03125,17.8877390147,0.0890527852,0.0898903052,-0.00083752
0.625,0.03125,-1.7875043802,0.0906287986,0.0905560298,7.27688041351E-05
0.65625,0.03125,-21.4455331308,0.0913320071,0.0903496503,0.0009823568
0.6875,0.03125,-1.608711441,0.0815637639,0.0814982737,6.54901935088E-05
0.71875,0.03125,18.2436030195,0.071010017,0.0718620241,-0.0008520071
0.75,0.03125,-1.3680966232,0.0693642794,0.0693085846,5.5694831473E-05
0.78125,0.03125,-20.9666207475,0.0670505259,0.0660876656,0.0009628604
0.8125,0.03125,-1.0749066194,0.0544991646,0.0544554055,4.37591482973E-05
0.84375,0.03125,18.827159447,0.0414229466,0.0422987101,-0.0008757635
0.875,0.03125,-0.7404085571,0.0375396775,0.0375095357,3.01418255925E-05
0.90625,0.03125,-20.300846022,0.0332948808,0.0323591239,0.0009357569
0.9375,0.03125,-0.3774570091,0.0191375616,0.0191221955,1.53661694334E-05
0.96875,0.03125,19.5495671211,0.0047959373,0.0057011098,-0.0009051725
1,0.03125,3.84E-14,0,0,0
0,0.0625,0,0,0,0
0.03125,0.0625,-0.3774570091,0.0191375616,0.0191221955,1.53661694296E-05
0.0625,0.0625,-0.7512789009,0.0380908181,0.0380602337,3.05843542478E-05
0.09375,0.0625,-1.1178655662,0.0566772392,0.0566317312,0.000045508
0.125,0.0625,-1.473686575,0.0747178274,0.0746578341,5.99933689149E-05
0.15625,0.0625,-1.8153151765,0.0920388422,0.0919649412,0.000073901
0.1875,0.0625,-2.1394613005,0.1084734725,0.1083863757,8.70968720604E-05
0.21875,0.0625,-2.4430032426,0.1238634441,0.1237639901,0.000099454
0.25,0.0625,-2.723017728,0.1380605429,0.1379496896,0.0001108533
0.28125,0.0625,-2.9768080642,0.1509280433,0.1508068583,0.000121185
0.3125,0.0625,-3.2019301113,0.1623420241,0.1622116744,0.0001303497
0.34375,0.0625,-3.3962158212,0.1721925625,0.1720543035,0.000138259
0.375,0.0625,-3.5577941161,0.1803847923,0.1802399555,0.0001448368
0.40625,0.0625,-3.6851089089,0.186839818,0.1866897982,0.0001500198
0.4375,0.0625,-3.7769340883,0.1914954741,0.1913417162,0.0001537579
